name,team,pos,bye,rank
Michael Wilson,ARI,WR,14,76.1
Jadarian Price,SEA,RB,11,76.6
Chris Godwin Jr.,TB,WR,10,77.8
Matthew Stafford,LAR,QB,11,78.7
Jalen Hurts,PHI,QB,10,80.4
Michael Pittman Jr.,PIT,WR,9,81.4
Seattle Defense,SEA,DST,11,82.1
J.K. Dobbins,DEN,RB,10,83.5
Harold Fannin Jr.,CLE,TE,11,83.9
Kyle Pitts Sr.,ATL,TE,11,84.9
Josh Downs,IND,WR,13,85.3
Quentin Johnston,LAC,WR,7,85.4
Jakobi Meyers,JAX,WR,7,86.7
Brock Purdy,SF,QB,8,87.6
RJ Harvey,DEN,RB,10,88.8
Jordan Addison,MIN,WR,6,89.3
Caleb Williams,CHI,QB,10,90.1
Denver Defense,DEN,DST,10,91.4
